Entry Name,Photo1
Спаситель 11 3/4 х 19 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_eCO4-N0ahN3IgeEbisR8a4ZzTE7zqF6_vnoGIVhuPaknPaYk6siYog==
Спаситель 2 х 2 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_Ctd3pHLTxWxIKxhJoA-6PnbT-SmAUMB6acQ36UWQ4YRcxKDYfB2IYw==
Спаситель 6 х 7,https://lnk.sortly.co/v2/downloads/photo/v2_Sw6K5xvjZRpOypdQ8fxnxYosYC1FhfzAdo0yumlyYNbSlL6DKkEC9A==
Спаситель 7 1/2 х 8 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_hoTqw4z2BtnHaJ2EF_1lyp_R3AiMDqey7nc5yyZzSlZ34GvLWHFBEg==
Спаситель 9 х 10 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_1CYe62T1d9OqtQx9lxvRfFF8VXbCAWY4QG0mGpUGIDlRLgbFiA5u2Q==
Сретение 12 5/8 х 15 1/4,https://lnk.sortly.co/v2/downloads/photo/v2__s8yScXz9CuUUh5rKXruP1ocZVlXh_0mTN4LehbGshCrt-jyItGSPA==
Умягчение злых сердец 13 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_oxg3t-00DRcewo88PdPj_1ACCfCaXY1pVwZIwkuBCZ7ZVVRvDElFqA==
Успение 12 3/8 х 16 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_fWYSwXAsHp-A2leR85CyR-31l2AXWo8lddhfFk1HjB2c3WN-0IVTIg==
Ферапонт 7 1/4 х 8 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_UHMf2_Mk_RYWUgOO3tjxRaBaCsrl2EuwDCgAMSgUNb0kNrq3Drxxeg==
Царская семья 8 3/4 х 12,https://lnk.sortly.co/v2/downloads/photo/v2_CtAB4DOIPb0bSvP3fT2V_Rhid2edX12PNmdBfdMbNQcNfGu8GJPboQ==
